,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0
1,20,"[Element Cu, Element Li, Element Mn, Element O, Element V]",Li2MnV4CuO12,260.6926025122309,3.3640077035761067,Monoclinic,3,2.0,8996.386
1,12,"[Element Cu, Element Na, Element O]",Na3CuO2,179.9185444834026,3.036730865997984,Trigonal,7,1.0,8988.802
1,16,"[Element Cu, Element Fe, Element O, Element S, Element Sr]",Sr2FeCuSO3,245.50453644820976,5.068699390757063,Tetragonal,5,1.0,8995.876
1,38,"[Element Cu, Element O, Element P]",Cu4(PO4)3,461.231955923975,3.881749331088552,Monoclinic,3,2.25,8999.463
1,49,"[Element Cu, Element Li, Element Nd, Element O]",LiNd14(Cu3O14)2,681.0108064727882,6.962908140654887,Monoclinic,3,2.0,8998.727
1,40,"[Element Ba, Element Cu, Element O, Element Se]",BaCu(SeO3)2,656.8146235188938,4.5991397063129,Monoclinic,3,2.0,8987.508
1,26,"[Element C, Element Cu, Element Na, Element O, Element P]",Na3CuPCO7,311.797029299838,3.062233265136593,Monoclinic,3,2.0,8996.362
1,3,"[Element Cu, Element O]",CuO2,87.80546064954282,1.806902091229084,Orthorhombic,4,2.0,9003.105
1,44,"[Element Cl, Element Cu, Element Er, Element O, Element Te]",ErCuTe2ClO6,741.5194408813159,5.530844264318521,Monoclinic,3,2.0,8996.038
1,8,"[Element Cu, Element Li, Element O]",LiCuO2,75.76152725829627,4.492561808196553,Orthorhombic,4,1.0,8992.689
1,63,"[Element Ca, Element Cu, Element O, Element V]",CaV4(CuO7)2,965.0632022202736,3.0709921490137315,Monoclinic,3,3.0,9003.42
1,7,"[Element Br, Element Ca, Element Cu, Element O]",Ca2Cu(BrO)2,133.5555765435022,4.171487818646666,Tetragonal,5,2.0,9000.816
1,52,"[Element Cu, Element O, Element W, Element Zn]",ZnCu2(WO4)2,734.4972880141015,6.223268432146523,Monoclinic,3,1.0,8987.247
1,54,"[Element C, Element Cu, Element Li, Element O, Element S]",Li4Cu2C4SO16,581.0835521391793,2.8059600480885822,Orthorhombic,4,3.0,8998.101
1,8,"[Element Cu, Element O, Element Tl]",TlCuO2,160.58492903414233,6.202852562050005,Monoclinic,3,3.0,9001.951
1,78,"[Element B, Element Cu, Element O, Element Ti]",Ti2Cu9(B3O11)2,905.5566482648275,3.9773456928661997,Triclinic,6,2.0,8993.434
1,32,"[Element Cu, Element Li, Element O, Element P]",Li2CuPO4,338.0407119017248,3.387472112001924,Triclinic,6,1.0,8987.684
1,66,"[Element Cu, Element O, Element Sb, Element Zn]",ZnCuSb2O7,951.1962873139615,5.074553094052371,Monoclinic,3,2.0,8999.596
1,44,"[Element Br, Element Cu, Element Er, Element O, Element Te]",ErCuTe2BrO6,761.2843594458672,5.775081249728321,Monoclinic,3,2.0,8996.041
1,36,"[Element Cu, Element O, Element P, Element Ti, Element Zn]",TiZnCu(PO4)3,440.1408317031411,3.4840248472876483,Trigonal,7,3.0,8999.135
1,52,"[Element Cu, Element Mg, Element O, Element W]",MgCu2(WO4)2,726.1389563801972,5.918914777166144,Monoclinic,3,1.0,8987.293
1,14,"[Element Ca, Element Cl, Element Cu, Element O, Element Sm]",CaSmCuClO3,208.71400465190888,5.369302591886071,Tetragonal,5,2.0,8999.921
1,34,"[Element B, Element Cu, Element O, Element Tb]",TbCu(BO2)5,349.2338605703909,4.151138619523193,Orthorhombic,4,2.0,8992.189
1,4,"[Element Cu, Element Li, Element O]",LiCuO2,35.67895305937966,4.769805651595284,Trigonal,7,1.0,9000.445
1,68,"[Element Cu, Element K, Element O, Element Si]",K2Cu(Si2O5)2,999.8301531178403,2.7508419456419575,Monoclinic,3,2.0,8992.017
1,22,"[Element Cu, Element O, Element P, Element Zn]",ZnCuP2O7,248.56723966322545,4.046989400807849,Triclinic,6,2.0,8995.141
1,48,"[Element Bi, Element Cu, Element O]",CuBiO4,674.637223852951,6.626509420343074,Monoclinic,3,3.0,9000.68
1,28,"[Element Ca, Element Cu, Element O]",Ca(CuO2)2,336.1061127372066,4.568352791408316,Orthorhombic,4,2.0,9003.004
1,56,"[Element Cu, Element Li, Element O, Element P]",LiCuPO4,609.3764417487015,3.606966738747089,Orthorhombic,4,2.0,8989.477
1,43,"[Element Cu, Element Nd, Element O]",Nd12Cu6O25,561.0931093725108,7.434680604234797,Monoclinic,3,2.3333333333333335,8996.401
1,68,"[Element Cu, Element Li, Element O, Element P]",LiCuP4O11,889.2023257992792,2.7666274503214456,Triclinic,6,1.0,8987.434
1,42,"[Element Cu, Element Li, Element O, Element P]",LiCuPO4,508.7594319173273,3.240235589068339,Trigonal,7,2.0,8997.619
1,36,"[Element Cu, Element Fe, Element O, Element P, Element Ti]",TiFe3Cu2(PO4)6,447.1889239430623,3.3877104341172877,Trigonal,7,2.0,8999.222
1,14,"[Element Cu, Element Mn, Element O]",Mn3Cu3O8,150.48583458541103,5.334609571479791,Trigonal,7,1.3333333333333333,9001.281
1,36,"[Element Cu, Element Mg, Element O, Element P, Element Ti]",MgTiCu(PO4)3,439.9188380061719,3.175476655854587,Trigonal,7,3.0,8999.198
1,28,"[Element Cu, Element Mg, Element O]",Mg(CuO2)2,298.0784905733796,4.799690734036833,Orthorhombic,4,2.0,8999.201
1,31,"[Element Cu, Element H, Element N, Element O]",CuH12(N5O4)2,306.3962580859462,1.8627285146666666,Triclinic,6,2.0,8998.88
1,18,"[Element Cu, Element H, Element O, Element Se]",CuH2SeO5,206.8202610795223,3.6052789365131415,Triclinic,6,2.0,8986.842
1,30,"[Element Ba, Element Cu, Element O, Element Sb]",Ba3CuSb2O9,437.44405458316396,6.552217386105129,Hexagonal,2,2.0,8997.021
1,5,"[Element Cu, Element O, Element Sc]",ScCuO3,51.848919296289374,5.0121497085662625,Cubic,1,2.0,9000.0
1,11,"[Element Ba, Element Cl, Element Cu, Element O]",Ba2Cu3(ClO2)2,222.7407111756179,4.474477163047332,Tetragonal,5,2.0,8998.514
1,6,"[Element Cu, Element O]",Cu2O,78.83288414788541,6.028166000942374,Cubic,1,1.0,8987.351
1,36,"[Element Ba, Element Ca, Element Cu, Element O, Element Tl]",Ba4Ca4Tl3Cu6O19,516.7869653777112,6.452213202552055,Tetragonal,5,2.0,9002.149
1,96,"[Element Cu, Element Mo, Element Nd, Element O]",NdCu(MoO4)2,1579.026908849954,4.439216779197212,Orthorhombic,4,2.0,8987.478
1,14,"[Element Cu, Element O, Element Zn]",Zn(CuO2)2,147.67110535863796,5.7685752127463115,Trigonal,7,2.0,9000.966
1,28,"[Element Cu, Element O, Element Se]",Cu2SeO4,366.33595344205827,4.896357011349799,Monoclinic,3,2.0,8997.951
1,20,"[Element Ca, Element Cu, Element O, Element Pr]",CaPr(CuO3)2,226.81420173392848,5.916567216218911,Orthorhombic,4,3.0,9000.88
1,28,"[Element Cu, Element O, Element Zn]",Zn(CuO2)2,269.5520552715499,6.320499965415011,Triclinic,6,2.0,8999.095
1,76,"[Element C, Element Cu, Element H, Element O]",CuH6(CO2)4,848.3720683790594,1.9231228508432272,Orthorhombic,4,2.0,8997.284
1,28,"[Element Cr, Element Cu, Element Li, Element Mn, Element O]",Li4Mn3Cr2Cu3O16,279.72342577161413,4.411895466179972,Monoclinic,3,2.0,9002.206
1,14,"[Element C, Element Cu, Element Fe, Element N, Element O]",FeCuC5N6O,281.7526283714178,1.6471692271046923,Tetragonal,5,2.0,9000.631
1,9,"[Element Cu, Element O]",Cu8O,106.07991223247113,8.208269790939399,Orthorhombic,4,NAN,8988.131
1,50,"[Element Cu, Element In, Element O, Element P]",In2Cu3(PO4)4,617.0490066345856,4.306614182479996,Monoclinic,3,2.0,8987.324
1,48,"[Element Cu, Element O, Element V]",VCuO4,637.0399605349947,3.7219828578338947,Monoclinic,3,3.0,9001.298
