,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0
1,26,"[Element Fe, Element Li, Element O, Element P]",LiFe2(PO4)2,351.5955195220324,2.914705603283866,Monoclinic,3,2.5,7124.554
1,42,"[Element Cu, Element Fe, Element O]",Fe2CuO4,461.85090382899773,5.160843846179804,Monoclinic,3,3.0,7130.708
1,14,"[Element Fe, Element O, Element Zn]",ZnFe5O8,158.1715266731857,4.9618237526755555,Cubic,1,2.8,7130.587
1,24,"[Element Fe, Element Li, Element O, Element P]",Li2FeP2O7,291.2241086494834,2.7787815216799476,Monoclinic,3,2.0,7126.073
1,64,"[Element Bi, Element Fe, Element Mg, Element O]",MgFeBiO5,782.9837172158734,6.262714740615243,Orthorhombic,4,3.0,7127.242
1,28,"[Element Fe, Element Li, Element O, Element P]",LiFePO4,360.1904963772041,2.909152363354711,Orthorhombic,4,2.0,7115.169
1,64,"[Element B, Element Fe, Element Li, Element O]",Li2FeBO4,623.4624003872398,3.0796661523870927,Orthorhombic,4,3.0,7137.215
1,30,"[Element Bi, Element Fe, Element O]",Fe4Bi2O9,428.73481566670495,6.083387882395804,Orthorhombic,4,3.0,7129.569
1,68,"[Element Fe, Element O, Element S]",Fe2(SO4)3,868.1442068115424,3.0594580620104574,Monoclinic,3,3.0,7125.372
1,34,"[Element Fe, Element Li, Element Ni, Element O]",Li5FeNi3O8,297.87618071724125,4.399753490176848,Monoclinic,3,3.0,7118.456
1,50,"[Element C, Element Fe, Element Li, Element O, Element P]",Li5Fe2P2(CO7)2,551.8346040777011,2.7464611973298987,Monoclinic,3,2.5,7125.242
1,18,"[Element F, Element Fe, Element O]",Fe6O5F7,212.08929743094922,4.290966589159459,Triclinic,6,2.8333333333333335,7115.743
1,20,"[Element Fe, Element O]",Fe2O3,238.12087379725398,4.4543510377524225,Orthorhombic,4,3.0,7129.709
1,19,"[Element Ca, Element Fe, Element O, Element W]",Ca3Fe2(WO6)2,242.46236001303726,5.421366806247338,Trigonal,7,3.0,7127.089
1,40,"[Element Fe, Element Li, Element Ni, Element O, Element P]",Li5Fe3Ni2(PO4)6,451.39197186668827,3.2720446914911205,Triclinic,6,3.0,7126.237
1,28,"[Element Fe, Element Li, Element Mn, Element O, Element Te]",Li4Mn2Fe3Te3O16,339.74479717877637,4.613732311941492,Triclinic,6,2.3333333333333335,7126.21
1,30,"[Element F, Element Fe, Element O]",Fe5(OF4)2,369.38966689410904,4.164599395725577,Monoclinic,3,2.4,7115.737
1,44,"[Element Ca, Element Fe, Element Nb, Element Nd, Element O]",Ca2Nd2Nb3FeO14,586.4392335125367,5.250824419675447,Monoclinic,3,3.0,7125.621
1,30,"[Element F, Element Fe, Element O]",Fe5(O4F)2,321.74714755966613,4.595535506726013,Triclinic,6,NAN,7118.662
1,80,"[Element Fe, Element H, Element Li, Element O, Element P]",LiFePH2O5,885.8643852819587,2.6358647129677126,Orthorhombic,4,2.0,7119.13
1,47,"[Element Fe, Element Li, Element O, Element W]",Li11Fe(WO4)7,606.403013499028,5.112647237192757,Monoclinic,3,3.0,7126.983
1,14,"[Element Cu, Element Fe, Element Li, Element O]",LiFeCuO4,151.73652843795412,4.165769897613262,Orthorhombic,4,3.0,7125.77
1,36,"[Element Fe, Element O, Element P, Element Ti, Element V]",TiV2Fe3(PO4)6,447.89322110531305,3.2889224163048185,Trigonal,7,3.0,7126.171
1,74,"[Element Fe, Element Li, Element O, Element P]",Li4Fe5(P3O11)2,884.5537219977055,3.1718907592113026,Monoclinic,3,2.0,7115.351
1,18,"[Element Bi, Element Fe, Element La, Element O]",LaFeBiO6,266.3180608442547,6.231771428171409,Monoclinic,3,NAN,7127.027
1,18,"[Element F, Element Fe, Element O]",Fe6O5F7,212.51736208822638,4.282323478195124,Triclinic,6,2.8333333333333335,7127.601
1,28,"[Element Fe, Element Mg, Element O]",Mg(FeO2)2,276.3265120451972,4.807291454636607,Orthorhombic,4,3.0,7127.192
1,16,"[Element Fe, Element O, Element Ti]",TiFe2O5,189.53796913788756,4.197457332665323,Orthorhombic,4,3.0,7127.754
