,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0,CN_species1,CN_species2,CN1,CN2,CN_all
1,15,"[Element Cr, Element Li, Element O, Element V]",Li3VCr3O8,148.20111061269307,3.986025745419245,Monoclinic,3,4.0,5482.36,O,-,6,0,6
1,36,"[Element Mn, Element O, Element P, Element Sb, Element V]",Mn3VSb2(PO4)6,486.7099696176944,3.5110582367532395,Trigonal,7,4.0,5479.325,O,-,6,0,6
1,32,"[Element Cr, Element Li, Element O, Element V]",Li4V3CrO8,302.80287103803664,3.9547632615423853,Triclinic,6,3.0,5482.008,O,-,6,0,6
1,86,"[Element Li, Element O, Element P, Element V]",Li3V3P8O29,1169.344304280021,2.514699557488702,Triclinic,6,5.0,5482.238,O,-,6,0,6
1,44,"[Element Li, Element Mn, Element O, Element P, Element V]",Li2MnV(P2O7)2,538.162105086757,2.885926281772543,Triclinic,6,3.0,5477.467,O,-,6,0,6
1,56,"[Element Ba, Element Ca, Element O, Element P, Element V]",BaCaVP2O9,761.2866454221595,3.7891284136738093,Monoclinic,3,4.0,5469.355,O,-,1,0,1
1,27,"[Element O, Element Si, Element V]",V(SiO3)2,335.85814968179454,3.0126134334480135,Triclinic,6,4.0,5476.699,O,-,5,0,5
1,49,"[Element Al, Element O, Element Sb, Element Si, Element V]",Al4V13Si2(SbO14)2,579.5361905123626,4.349050802971984,Monoclinic,3,2.3076923076923075,5479.254,O,-,5,0,5
1,14,"[Element Fe, Element Li, Element O, Element V]",LiVFeO4,163.11011181601637,3.618653235561391,Orthorhombic,4,4.0,5468.947,O,-,4,0,4
1,42,"[Element Co, Element Li, Element O, Element P, Element V]",Li8VCo3(PO4)6,478.35230722313355,2.961418349560967,Trigonal,7,4.0,5480.624,O,-,6,0,6
1,16,"[Element F, Element Li, Element O, Element V]",Li3V(OF)2,145.7890576575777,3.229298477868561,Monoclinic,3,3.0,5481.29,F,O,2,4,6
1,88,"[Element Mg, Element O, Element Pb, Element V]",MgV2PbO7,1233.7096637402008,4.7957940797279495,Monoclinic,3,5.0,5471.715,O,-,4,0,4
1,20,"[Element H, Element Li, Element O, Element P, Element V]",Li2VPHO5,205.6375370359332,2.855382952069344,Triclinic,6,2.0,5477.938,H,O,4,3,7
1,34,"[Element O, Element P, Element V]",V2(PO4)3,454.5533959684976,2.8260339381811623,Triclinic,6,4.5,5482.159,O,-,6,0,6
1,22,"[Element Al, Element O, Element V]",Al2V2O7,216.4576658228253,4.109458465670898,Cubic,1,4.0,5483.035,O,-,6,0,6
1,48,"[Element Li, Element O, Element P, Element V]",LiV2P5O16,652.3280611795569,2.6457677049094026,Monoclinic,3,3.0,5472.503,O,-,6,0,6
1,28,"[Element Ba, Element K, Element O, Element V]",KBaVO4,502.56135113745046,3.8508489359250437,Orthorhombic,4,5.0,5471.845,O,-,4,0,4
1,98,"[Element Li, Element O, Element P, Element V]",Li9V3P8O29,1154.1550989337277,2.6676303948134907,Triclinic,6,3.0,5478.644,O,-,6,0,6
1,20,"[Element Cu, Element O, Element V, Element Y]",YV4(CuO4)3,202.8162221515172,5.528977920231254,Cubic,1,3.75,5481.832,O,-,6,0,6
1,28,"[Element As, Element O, Element V]",VAsO5,385.42224870884246,3.5476803321391794,Orthorhombic,4,5.0,5469.239,O,-,5,0,5
1,18,"[Element F, Element O, Element V]",V3O5F,193.69490999461576,4.317684758202934,Monoclinic,3,3.6666666666666665,5486.391,F,O,3,3,6
1,38,"[Element Na, Element O, Element Sr, Element V]",Na2SrV4O12,589.7256168673083,2.9811158348449425,Tetragonal,5,5.0,5471.153,O,-,4,0,4
1,30,"[Element Na, Element O, Element V]",NaV4O10,405.7459483473163,3.1655921308212385,Orthorhombic,4,4.75,5470.479,O,-,4,0,4
1,32,"[Element F, Element O, Element V]",V4O7F5,419.2755306285427,3.2535776474933806,Triclinic,6,4.75,5479.761,F,O,2,2,4
1,16,"[Element F, Element O, Element V]",VO2F,218.14622778729918,3.103848241017867,Orthorhombic,4,5.0,5468.416,F,O,1,3,4
1,24,"[Element Li, Element Mn, Element O, Element V]",Li5Mn2V5O12,235.89723818938495,4.162176035872925,Monoclinic,3,3.0,5480.921,O,-,6,0,6
1,20,"[Element F, Element Li, Element O, Element V]",Li6V2OF11,209.97145450767658,2.9143324741327348,Triclinic,6,3.5,5477.995,F,O,5,1,6
1,22,"[Element F, Element Li, Element O, Element V]",Li2V2OF6,292.22745573453943,2.792930394058852,Triclinic,6,3.0,5480.56,F,O,5,1,6
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1176.3134820097935,2.5193974674291035,Triclinic,6,4.666666666666667,5480.474,O,-,6,0,6
1,14,"[Element Na, Element O, Element Si, Element V]",NaVSiO4,155.644428321805,3.5423477006249655,Orthorhombic,4,3.0,5485.825,O,-,6,0,6
1,40,"[Element Li, Element O, Element P, Element V]",Li3V2(PO4)3,430.7337548761844,3.142865209092913,Monoclinic,3,3.0,5479.668,O,-,6,0,6
1,20,"[Element Bi, Element Mg, Element O, Element V]",Mg2VBiO6,278.0007179542887,4.832613670050193,Orthorhombic,4,5.0,5470.474,O,-,4,0,4
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1177.4497971058368,2.5169660861657914,Triclinic,6,4.666666666666667,5481.007,O,-,6,0,6
