,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0,CN_species1,CN_species2,CN_species3,CN1,CN2,CN3,CN_all
1,22,"[Element O, Element P, Element Ti, Element Zn]",TiZnP2O7,260.0792293777828,3.6676431384808725,Triclinic,6,2.0,9663.918,O,-,-,6,0,0,6
1,14,"[Element Fe, Element O, Element Zn]",ZnFe5O8,158.1715266731857,4.9618237526755555,Cubic,1,2.0,9668.616,O,-,-,4,0,0,4
1,20,"[Element Ni, Element O, Element Ta, Element Zn]",TaZn2NiO6,211.56928099211348,7.322120332758707,Monoclinic,3,2.0,9668.822,O,-,-,4,0,0,4
1,46,"[Element Na, Element O, Element Zn]",Na10Zn4O9,627.5010834201806,3.3635624514525304,Monoclinic,3,2.0,9670.416,O,-,-,4,0,0,4
1,30,"[Element O, Element P, Element Sb, Element Zn]",ZnSb2(PO5)2,399.8851033606619,4.4089225774043985,Orthorhombic,4,2.0,9666.228,O,-,-,4,0,0,4
1,56,"[Element O, Element V, Element Zn]",V2ZnO4,635.5457315871521,4.834464508312943,Monoclinic,3,2.0,9670.196,O,-,-,6,0,0,6
1,14,"[Element O, Element Sb, Element Zn]",Zn(SbO2)2,226.17109918200796,5.476023953494818,Monoclinic,3,2.0,9666.155,O,-,-,4,0,0,4
1,24,"[Element Cu, Element O, Element Zn]",Zn2Cu9O13,233.7297053276144,6.470264815732412,Monoclinic,3,2.0,9668.169,O,-,-,6,0,0,6
1,50,"[Element H, Element Na, Element O, Element S, Element Zn]",Na2ZnH8(SO6)2,514.4226688165746,2.424685974729984,Monoclinic,3,2.0,9668.022,O,-,-,6,0,0,6
1,80,"[Element Co, Element O, Element Si, Element Zn]",ZnCo(SiO3)2,890.9681636538712,4.122750923436713,Orthorhombic,4,2.0,9669.029,O,-,-,6,0,0,6
1,28,"[Element O, Element V, Element Zn]",V2ZnO4,292.2892974770118,5.255962687120834,Orthorhombic,4,2.0,9669.143,O,-,-,4,0,0,4
1,10,"[Element K, Element Li, Element O, Element Zn]",KLiZnO2,133.94123806561947,3.556776287346053,Monoclinic,3,2.0,9666.225,O,-,-,4,0,0,4
1,20,"[Element Ni, Element O, Element Zn]",ZnNi9O10,190.822481186719,6.55821375061988,Triclinic,6,2.0,9669.458,O,-,-,6,0,0,6
1,22,"[Element Co, Element O, Element P, Element Zn]",ZnCoP2O7,250.1329306774045,3.960412153847646,Triclinic,6,2.0,9663.679,O,-,-,4,0,0,4
1,14,"[Element O, Element Ti, Element Zn]",Ti2ZnO4,158.35372198943213,4.721767838383659,Monoclinic,3,2.0,9665.653,O,Zn,-,5,1,0,6
1,62,"[Element H, Element K, Element O, Element S, Element Zn]",K2ZnH12(SO7)2,812.0632957498126,1.8150914066104415,Monoclinic,3,2.0,9663.691,O,-,-,4,0,0,4
1,56,"[Element Ag, Element O, Element Zn]",Zn(AgO2)2,729.782136555445,6.282679689451971,Monoclinic,3,2.0,9668.136,O,-,-,6,0,0,6
1,84,"[Element As, Element Na, Element O, Element Zn]",NaZnAsO4,1224.1876339602093,3.700122615307156,Monoclinic,3,2.0,9664.028,O,-,-,4,0,0,4
1,56,"[Element Mo, Element O, Element Zn]",Zn(MoO2)2,719.6083037606711,5.931103791223614,Monoclinic,3,2.0,9669.633,O,-,-,6,0,0,6
1,28,"[Element Fe, Element O, Element Zn]",Zn(FeO2)2,305.1373674296727,5.248132276733176,Monoclinic,3,2.0,9669.94,O,-,-,6,0,0,6
1,72,"[Element Al, Element Ca, Element O, Element Zn]",Ca3Al4ZnO10,949.9174732200585,3.1714726646038662,Orthorhombic,4,2.0,9669.935,O,-,-,4,0,0,4
1,14,"[Element O, Element Sn, Element Zn]",Zn(SnO2)2,202.14439431437552,6.026680999752517,Orthorhombic,4,2.0,9665.524,O,-,-,6,0,0,6
1,20,"[Element Cr, Element O, Element W, Element Zn]",Zn2CrWO6,213.71096760808607,7.189609646374105,Monoclinic,3,2.0,9667.954,O,-,-,4,0,0,4
1,14,"[Element Ni, Element O, Element Zn]",Zn(NiO2)2,142.1688189350274,5.765118942172873,Tetragonal,5,2.0,9668.416,O,-,-,4,0,0,4
1,16,"[Element Co, Element O, Element Zn]",ZnCoO2,199.09138688136485,5.215902703106732,Triclinic,6,2.0,9668.95,O,-,-,4,0,0,4
1,64,"[Element Ba, Element Cl, Element O, Element Te, Element Zn]",BaZnTeCl2O3,1420.1090976526696,4.202386375359226,Orthorhombic,4,2.0,9664.077,Cl,O,-,2,2,0,4
1,5,"[Element H, Element O, Element Zn]",Zn(HO)2,42.08832579467129,3.9226293520415996,Monoclinic,3,2.0,9677.542,O,-,-,6,0,0,6
1,28,"[Element Na, Element O, Element P, Element Zn]",NaZnPO4,399.1126715000554,3.051702273605441,Monoclinic,3,2.0,9663.99,O,-,-,4,0,0,4
1,2,"[Element O, Element Zn]",ZnO,19.50542849712628,6.930472017256744,Cubic,1,2.0,9668.811,O,Zn,-,8,6,0,14
1,40,"[Element H, Element Li, Element O, Element P, Element Zn]",LiZnPH2O5,446.8942278040948,2.754644928807771,Orthorhombic,4,2.0,9665.213,O,-,-,4,0,0,4
